Date,Open,High,Low,Close,Adj Close,Volume
2022-04-25,76.199997,77.059998,74.699997,76.980003,75.643715,7305900
2022-04-26,76.349998,76.650002,74.480003,74.510002,73.216583,7555200
2022-04-27,74.580002,76.019997,74.419998,74.760002,73.462250,7279200
2022-04-28,75.519997,76.629997,74.599998,76.139999,74.818291,6177900
2022-04-29,75.339996,75.870003,73.150002,73.400002,72.125854,7946900
2022-05-02,73.930000,74.599998,72.529999,74.000000,72.715439,7379900
2022-05-03,73.849998,74.209999,72.809998,73.290001,72.017761,5211500
2022-05-04,73.379997,75.349998,72.790001,75.209999,73.904434,6759900
2022-05-05,74.000000,74.720001,71.989998,72.800003,71.536270,7197200
2022-05-06,72.129997,72.940002,71.629997,72.489998,71.231644,6222500
2022-05-09,71.639999,72.589996,71.169998,71.540001,70.298149,7019700
2022-05-10,72.500000,73.620003,71.269997,72.529999,71.270958,8129000
2022-05-11,72.309998,73.459999,70.870003,71.029999,69.796997,6932100
2022-05-12,70.879997,70.930000,68.970001,70.730003,69.502205,11698900
2022-05-13,70.959999,71.980003,70.529999,71.169998,69.934570,6700100
2022-05-16,70.690002,70.910004,69.389999,69.709999,68.499908,6942100
2022-05-17,71.050003,71.900002,70.699997,71.879997,70.632233,5952500
2022-05-18,70.800003,70.940002,67.809998,68.300003,67.114388,7977300
2022-05-19,67.480003,67.900002,66.720001,67.040001,65.876259,9451600
2022-05-20,67.879997,68.690002,66.849998,68.629997,67.438660,7531100
2022-05-23,69.309998,70.470001,68.669998,70.040001,68.824188,7370200
2022-05-24,69.669998,70.529999,68.309998,69.029999,67.831718,6644100
2022-05-25,68.879997,70.220001,68.769997,69.830002,68.617828,7103300
2022-05-26,70.129997,72.120003,69.910004,71.660004,70.416069,6758900
2022-05-27,72.360001,72.849998,71.550003,72.779999,71.516624,6566700
2022-05-31,72.230003,72.980003,71.519997,71.919998,70.671547,16890300
2022-06-01,73.019997,73.269997,71.150002,71.599998,70.357109,5804700
2022-06-02,71.480003,73.190002,71.010002,73.139999,71.870369,6200400
2022-06-03,72.559998,72.959999,71.230003,71.790001,70.543808,8169500
2022-06-06,72.629997,74.839996,72.629997,72.970001,71.703316,5274700
2022-06-07,71.589996,73.129997,71.589996,72.690002,71.428192,5675700
2022-06-08,72.010002,72.150002,70.940002,71.379997,70.140915,5253500
2022-06-09,70.769997,71.160004,69.199997,69.220001,68.018425,6824900
2022-06-10,67.980003,68.220001,66.959999,67.139999,65.974533,10256100
